Number of Vertices,Edge Probability,Average Edges,Average Opperations,Differance of Expected and Counted as a Ratio
10,0.1,9.9855,114.2994,5.7191163593605365
20,0.1,40.0976,255.6995,4.254737294001758
30,0.1,89.9487,417.378,3.479637545050509
40,0.1,159.9993,598.2937,2.991478970176395
50,0.1,250.2184,798.9281,2.6611563448476176
60,0.1,360.0048,1018.8886,2.425897513552226
70,0.1,489.8845,1258.8346,2.2483826574945365
80,0.1,640.1507,1519.1301,2.1094613946775307
90,0.1,809.7506,1798.7432,1.9991575443239493
100,0.1,1000.059,2099.0555,1.9081299275766117
110,0.1,1210.1551,2419.1538,1.8324769566848624
120,0.1,1440.1078,2759.1072,1.7685362511487988
130,0.1,1689.389,3118.3886,1.713975735810209
140,0.1,1959.4909,3498.4908,1.6663519713279065
150,0.1,2250.1734,3899.1733,1.624538168783972
160,0.1,2560.028,4319.028,1.5878615955423991
170,0.1,2890.378,4759.378,1.5551601795595182
180,0.1,3239.7928,5218.7928,1.526055262763288
190,0.1,3610.1498,5699.1498,1.4997171427294786
200,0.1,4000.3005,6199.3005,1.4759183301289993
210,0.1,4409.6722,6718.6722,1.4543612423409609
220,0.1,4839.9039,7258.9039,1.4345932340730818
230,0.1,5289.9188,7818.9188,1.4164916338986726
240,0.1,5759.9832,8398.9832,1.3998344528698015
250,0.1,6250.1186,8999.1186,1.384454523645153
260,0.1,6759.7716,9618.7716,1.3702399662120062
270,0.1,7289.7209,10258.7209,1.357023762610072
280,0.1,7838.3478,10917.3478,1.3447745857845608
290,0.1,8411.3648,11600.3648,1.3331661258472924
300,0.1,8999.7763,12298.7763,1.322480875158255
310,0.1,9610.0862,13019.0862,1.3123964789741445
320,0.1,10240.5407,13759.5407,1.3029200957485065
330,0.1,10889.527,14518.527,1.2940409163416604
340,0.1,11561.1218,15300.1218,1.285603328587058
350,0.1,12250.4756,16099.4756,1.2776879310809506
360,0.1,12960.337,16919.337,1.270188359348566
370,0.1,13691.7818,17760.7818,1.2630534346650153
380,0.1,14439.6742,18618.6742,1.2563484155407412
390,0.1,15207.9676,19496.9676,1.2499684638401223
400,0.1,16000.5432,20399.5432,1.2438333871770784
410,0.1,16809.9654,21318.9654,1.2380376443729673
420,0.1,17640.0044,22259.0044,1.2325027119041012
430,0.1,18490.5393,23219.5393,1.2272133966075691
440,0.1,19358.095,24197.095,1.2221930948406905
450,0.1,20251.277,25200.277,1.2173295879283197
460,0.1,21163.7272,26222.7272,1.2126830382876823
470,0.1,22090.8641,27259.8641,1.2082810294486903
480,0.1,23037.8408,28316.8408,1.2040578487120297
490,0.1,24007.7383,29396.7383,1.1999776444668773
500,0.1,24999.2716,30498.2716,1.1960448156487733
10,0.2,19.9177,127.1735,4.250777967557666
20,0.2,79.9823,298.6723,2.98725174355861
30,0.2,180.0317,508.9832,2.4233637112873914
40,0.2,319.9191,758.9131,2.1085657860335836
50,0.2,500.0903,1049.0899,1.9071230668855637
60,0.2,720.4352,1379.4351,1.767520352746775
70,0.2,979.9185,1748.9184,1.6657658665886923
80,0.2,1280.0237,2159.0237,1.5874897621269395
90,0.2,1619.7975,2608.7975,1.5257932591432612
100,0.2,1999.8806,3098.8806,1.4757413350073332
110,0.2,2420.6105,3629.6105,1.434282557509344
120,0.2,2879.9142,4198.9142,1.399678097460254
130,0.2,3380.9453,4809.9453,1.3699858268939709
140,0.2,3920.4823,5459.4823,1.3445403517705272
150,0.2,4501.0073,6150.0073,1.3222957745088897
160,0.2,5119.1046,6878.1046,1.302892274572472
